"","testing_bsm.Item_Identifier","testing_bsm.Outlet_Identifier","predict_lm"
"1","FDW58","OUT049",1854.02347015153
"2","FDW14","OUT017",1519.04382647012
"3","NCN55","OUT010",1852.75164642923
"4","FDQ58","OUT017",2608.98891646649
"5","FDY38","OUT027",5136.83700505982
"6","FDH56","OUT046",1946.11649193775
"7","FDL48","OUT018",569.049988544362
"8","FDC48","OUT027",2862.40559317784
"9","FDN33","OUT045",1574.80614533979
"10","FDA36","OUT017",3125.57969111679
"11","FDT44","OUT017",1963.97132955917
"12","FDQ56","OUT045",1486.97637859854
"13","NCC54","OUT019",1816.95746187507
"14","FDU11","OUT049",2038.0467170317
"15","DRL59","OUT013",912.906702960633
"16","FDM24","OUT049",2499.00418931554
"17","FDI57","OUT045",3577.50440146108
"18","DRC12","OUT018",2765.93956522919
"19","NCM42","OUT027",3199.43485248364
"20","FDA46","OUT010",1089.8400822695
"21","FDA31","OUT013",2786.15729830121
"22","NCJ31","OUT035",3723.31684395663
"23","FDG52","OUT046",799.691390452089
"24","NCL19","OUT019",386.308776957959
"25","FDS10","OUT035",2957.76578534184
"26","FDX22","OUT010",1482.67134414692
"27","NCF19","OUT035",802.799755042915
"28","NCE06","OUT046",2505.75116454998
"29","DRC27","OUT046",3888.13188918722
"30","FDE21","OUT035",1992.25251338934
"31","NCR42","OUT019",-1389.01100038345
"32","FDX51","OUT018",2843.6803977511
"33","NCR06","OUT018",402.799223178923
"34","FDU31","OUT027",4990.88843135317
"35","FDU59","OUT017",2714.27945549914
"36","FDR03","OUT027",4776.36047833603
"37","FDS49","OUT027",2838.71081397076
"38","FDD48","OUT010",4.24042780510581
"39","NCF18","OUT017",3012.39936973941
"40","NCD43","OUT027",3110.09581126616
"41","NCD54","OUT018",1957.1408935421
"42","FDY19","OUT010",4.48339412355648
"43","NCY54","OUT017",2704.05929392182
"44","NCL19","OUT018",2022.42337019634
"45","FDP23","OUT010",1569.83329219075
"46","FDC26","OUT013",1819.71793202602
"47","FDR14","OUT010",-1103.94683822522
"48","NCS41","OUT035",2938.34151767134
"49","FDF41","OUT035",3897.01542393226
"50","FDU34","OUT046",2034.85752496032
"51","DRH11","OUT046",980.678701638861
"52","FDM03","OUT013",1685.81131045716
"53","FDS31","OUT017",3016.87198186521
"54","FDJ20","OUT017",2028.01689437803
"55","FDV44","OUT027",4529.16881928017
"56","FDG02","OUT049",3155.8503836019
"57","FDA09","OUT013",2865.15574982735
"58","FDT04","OUT013",597.929023083042
"59","FDL58","OUT019",2246.83329593475
"60","FDE52","OUT045",1568.98560750004
"61","FDW12","OUT035",2413.96677070823
"62","FDL51","OUT017",3460.62032421266
"63","NCY42","OUT027",3700.77533311395
"64","FDR07","OUT017",1683.78832989955
"65","FDN40","OUT045",2480.98565771681
"66","FDB35","OUT027",3111.93642415271
"67","FDA22","OUT017",2881.04758749172
"68","NCL06","OUT046",4092.36054291516
"69","FDI35","OUT013",3060.30568106356
"70","NCW42","OUT045",3529.55113606637
"71","NCX06","OUT049",2886.47357325696
"72","FDC37","OUT027",3272.50704745461
"73","FDZ14","OUT018",1681.59292890767
"74","DRG49","OUT049",3918.90125239148
"75","NCG06","OUT045",4051.12439573398
"76","DRC36","OUT045",2849.13231007668
"77","FDV21","OUT019",-23.260318125489
"78","FDB53","OUT046",2317.06363253833
"79","DRP47","OUT019",1998.42744157534
"80","FDA14","OUT013",2308.62525173571
"81","DRC24","OUT035",2499.65949582681
"82","FDW21","OUT018",1393.71923178818
"83","NCH29","OUT046",1589.15069552057
"84","FDU58","OUT013",3031.42140290224
"85","FDY27","OUT017",2890.76047671781
"86","FDV56","OUT035",1880.76220766066
"87","FDT59","OUT046",3737.89432874201
"88","FDB23","OUT046",3800.5404892367
"89","FDR49","OUT045",876.423352978094
"90","FDB03","OUT010",1777.82044743379
"91","FDN39","OUT045",2745.23992706568
"92","FDX02","OUT027",5007.51620988697
"93","FDQ16","OUT027",3203.59422857046
"94","FDU35","OUT018",1343.07910527557
"95","NCT29","OUT013",1926.20347302366
"96","FDZ27","OUT046",860.654049578222
"97","FDN57","OUT017",2354.3838654588
"98","FDA03","OUT018",2044.34988674445
"99","FDZ36","OUT045",3065.41743072571
"100","NCU05","OUT013",1292.76672071897
"101","FDT39","OUT018",2171.0475112692
"102","FDK60","OUT017",1669.22549053704
"103","FDZ25","OUT017",2867.48668741643
"104","FDG12","OUT046",2053.90416001877
"105","DRB01","OUT019",1092.58014471108
"106","NCC43","OUT027",5345.7574487759
"107","FDX13","OUT019",2096.91749305917
"108","FDM22","OUT049",977.949519979769
"109","FDJ03","OUT027",2287.17405669143
"110","FDU14","OUT018",3646.83237494739
"111","FDB33","OUT010",731.688636930059
"112","FDP27","OUT046",3021.1377814238
"113","FDO38","OUT010",-631.665308769582
"114","FDE28","OUT027",5072.90377476161
"115","FDO27","OUT035",1525.08687851174
"116","DRL23","OUT027",3254.0729572398
"117","FDS28","OUT046",915.784858508319
"118","FDX24","OUT013",1561.49271190579
"119","FDZ02","OUT035",1623.01361799359
"120","FDL46","OUT045",1952.74397342929
