"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"1","FDW58","OUT049",1836.69975431508
"2","FDW14","OUT017",1555.37627827418
"3","NCN55","OUT010",1882.68757664782
"4","FDQ58","OUT017",2606.82659241913
"5","FDY38","OUT027",5132.41018330449
"6","FDH56","OUT046",1974.582511975
"7","FDL48","OUT018",598.982368405664
"8","FDC48","OUT027",2790.59959140547
"9","FDN33","OUT045",1551.60458613211
"10","FDA36","OUT017",3118.38444027725
"11","FDT44","OUT017",2028.08873979096
"12","FDQ56","OUT045",1409.09181618482
"13","NCC54","OUT019",1851.96706081951
"14","FDU11","OUT049",2032.35412937101
"15","DRL59","OUT013",914.98605296183
"16","FDM24","OUT049",2532.32738886397
"17","FDI57","OUT045",3362.49300824804
"18","DRC12","OUT018",2762.26740965652
"19","NCM42","OUT027",3187.6544954945
"20","FDA46","OUT010",1104.74991430211
"21","FDA31","OUT013",2813.63976601604
"22","NCJ31","OUT035",3765.61827913525
"23","FDG52","OUT046",795.748206907996
"24","NCL19","OUT019",376.574872388193
"25","FDS10","OUT035",2924.02061449947
"26","FDX22","OUT010",1472.05194618823
"27","NCF19","OUT035",818.419656855321
"28","NCE06","OUT046",2537.79056695168
"29","DRC27","OUT046",3854.25781652412
"30","FDE21","OUT035",1966.77924044436
"31","NCR42","OUT019",-1376.80554906876
"32","FDX51","OUT018",2873.26123888722
"33","NCR06","OUT018",426.353785201284
"34","FDU31","OUT027",4984.9967896492
"35","FDU59","OUT017",2729.9624898792
"36","FDR03","OUT027",4766.99274993108
"37","FDS49","OUT027",2779.63606268263
"38","FDD48","OUT010",-47.8087276684799
"39","NCF18","OUT017",3114.78221661599
"40","NCD43","OUT027",3096.48231538449
"41","NCD54","OUT018",1992.69690615747
"42","FDY19","OUT010",4.78445681399887
"43","NCY54","OUT017",2799.00173100842
"44","NCL19","OUT018",2034.4136416312
"45","FDP23","OUT010",1545.3940416066
"46","FDC26","OUT013",1828.07991829238
"47","FDR14","OUT010",-1101.68957955708
"48","NCS41","OUT035",2949.46996822265
"49","FDF41","OUT035",3909.36245319681
"50","FDU34","OUT046",2013.02744188386
"51","DRH11","OUT046",961.789478130213
"52","FDM03","OUT013",1716.14406772633
"53","FDS31","OUT017",3082.96573851797
"54","FDJ20","OUT017",2135.2271124742
"55","FDV44","OUT027",4528.37969475152
"56","FDG02","OUT049",3127.09324345336
"57","FDA09","OUT013",2910.70660973063
"58","FDT04","OUT013",635.228245030419
"59","FDL58","OUT019",2266.5848071084
"60","FDE52","OUT045",1491.87160718612
"61","FDW12","OUT035",2413.17812023275
"62","FDL51","OUT017",3532.5879219318
"63","NCY42","OUT027",3686.49918654363
"64","FDR07","OUT017",1719.05188164079
"65","FDN40","OUT045",2407.65485735208
"66","FDB35","OUT027",2980.26599961223
"67","FDA22","OUT017",2778.55299630875
"68","NCL06","OUT046",4126.06319719165
"69","FDI35","OUT013",2940.27431613748
"70","NCW42","OUT045",3487.87301766052
"71","NCX06","OUT049",2926.37154415616
"72","FDC37","OUT027",3208.66469887558
"73","FDZ14","OUT018",1693.05389789294
"74","DRG49","OUT049",3927.39864788898
"75","NCG06","OUT045",4026.38639065421
"76","DRC36","OUT045",2801.2996811639
"77","FDV21","OUT019",-5.04889377159816
"78","FDB53","OUT046",2333.55278522988
"79","DRP47","OUT019",2018.46691421927
"80","FDA14","OUT013",2304.88048999468
"81","DRC24","OUT035",2476.48744337375
"82","FDW21","OUT018",1401.09854788928
"83","NCH29","OUT046",1593.59900520702
"84","FDU58","OUT013",3064.46174219211
"85","FDY27","OUT017",2909.18518583974
"86","FDV56","OUT035",1896.1074977085
"87","FDT59","OUT046",3699.11454751291
"88","FDB23","OUT046",3687.48086863986
"89","FDR49","OUT045",783.764029402184
"90","FDB03","OUT010",1845.88690440512
"91","FDN39","OUT045",2701.900897135
"92","FDX02","OUT027",4946.91964686759
"93","FDQ16","OUT027",3166.43811567426
"94","FDU35","OUT018",1325.74382495333
"95","NCT29","OUT013",1971.41331748401
"96","FDZ27","OUT046",809.501948454762
"97","FDN57","OUT017",2367.20189008032
"98","FDA03","OUT018",2061.167116738
"99","FDZ36","OUT045",3002.53337711089
"100","NCU05","OUT013",1335.37911648871
"101","FDT39","OUT018",2195.0288629521
"102","FDK60","OUT017",1729.30889688803
"103","FDZ25","OUT017",2907.00330287433
"104","FDG12","OUT046",2048.01073924041
"105","DRB01","OUT019",1085.59364845475
"106","NCC43","OUT027",5356.06176676139
"107","FDX13","OUT019",2054.16736597136
"108","FDM22","OUT049",1006.39545431893
"109","FDJ03","OUT027",2266.61009545583
"110","FDU14","OUT018",3629.93401816985
"111","FDB33","OUT010",696.21204616302
"112","FDP27","OUT046",3020.80666629756
"113","FDO38","OUT010",-643.717728097923
"114","FDE28","OUT027",5101.92375543616
"115","FDO27","OUT035",1574.83695149835
"116","DRL23","OUT027",3200.2696508045
"117","FDS28","OUT046",955.13371543217
"118","FDX24","OUT013",1545.37013842082
"119","FDZ02","OUT035",1615.73414686031
"120","FDL46","OUT045",1878.03114554032
"121","FDS60","OUT027",4310.31155523258
"122","NCO06","OUT017",629.641595761653
"123","FDO16","OUT035",1411.94376839121
"124","FDC60","OUT049",1515.34737568703
"125","FDA48","OUT018",3187.55509638964
"126","FDZ36","OUT027",4442.99499706496
"127","FDK27","OUT045",1973.11550125959
"128","FDW23","OUT018",374.891650647008
"129","FDM14","OUT018",1546.20675514599
"130","FDM14","OUT013",1818.70023855429
"131","FDW60","OUT018",2610.02774230716
"132","FDE21","OUT013",1943.64682084028
"133","NCM42","OUT035",1780.01739599746
"134","FDY59","OUT010",-362.344989520627
"135","DRI49","OUT049",1326.44904488709
"136","FDT28","OUT019",473.202000266067
"137","FDQ22","OUT018",403.906930637774
"138","FDR60","OUT049",1302.55449325401
"139","FDC50","OUT019",-408.765261287115
"140","FDV24","OUT013",2426.73864374639
"141","DRF48","OUT010",1071.44480899743
"142","FDQ47","OUT046",649.290209252878
"143","DRN36","OUT049",1636.51598685119
"144","NCY06","OUT035",2068.92419990855
"145","FDE52","OUT035",1514.97181868996
"146","NCB54","OUT045",2026.92486296961
"147","NCF31","OUT035",2443.78596978271
"148","FDJ08","OUT027",4470.10210768898
"149","NCC07","OUT017",1804.81905080555
"150","NCD19","OUT027",2327.5327023361
"151","FDL46","OUT049",1983.76439480644
"152","FDM20","OUT045",3932.1579458705
"153","NCI06","OUT010",932.426457264812
"154","DRM11","OUT035",4138.95381549214
"155","NCH07","OUT018",2194.96015771909
"156","FDS23","OUT013",2067.05998333739
"157","FDO49","OUT018",609.234173113694
"158","FDS35","OUT049",1138.39102103806
"159","DRK39","OUT045",1308.26923449484
"160","DRI39","OUT049",992.346735609082
"161","FDV04","OUT017",2616.98486732094
"162","NCN14","OUT035",2913.06668336704
"163","FDH08","OUT013",3728.5346832451
"164","FDS20","OUT046",2962.61209169222
"165","FDV40","OUT049",1308.60314860343
"166","FDZ48","OUT010",-144.868852390406
"167","FDS24","OUT027",2915.87955535978
"168","FDK44","OUT049",2858.62849407044
"169","FDS48","OUT045",2401.07198957533
"170","FDK26","OUT010",1138.61586008794
"171","FDD23","OUT045",3079.55602849257
"172","NCH54","OUT017",2642.34728751675
"173","NCP14","OUT010",-279.602554580102
"174","FDM60","OUT010",-1193.50482815049
"175","FDV24","OUT017",2520.25585004379
"176","FDH08","OUT018",3390.64000018388
"177","FDS12","OUT027",3445.33977217444
"178","FDR39","OUT027",4313.30350227039
"179","FDP12","OUT027",2125.52282690144
"180","DRF60","OUT027",5167.84508676747
"181","FDC09","OUT035",1793.18635949439
"182","FDF50","OUT018",2872.19242001544
"183","FDG28","OUT035",3920.305377041
"184","NCE19","OUT017",980.616588537863
"185","NCM53","OUT010",-177.151042323247
"186","NCN18","OUT049",1824.93876438924
"187","FDF32","OUT035",3234.32882540156
"188","FDF11","OUT013",3896.59470826499
"189","DRI59","OUT049",3654.55617574664
"190","NCG54","OUT035",2696.03290150091
"191","FDM44","OUT046",1703.69532709651
"192","FDT57","OUT018",3469.56914524144
"193","FDV24","OUT046",2415.51327213216
"194","FDI50","OUT019",1786.13973367671
"195","FDS09","OUT035",923.267809166258
"196","NCC31","OUT027",3891.52651057324
"197","FDQ07","OUT019",1609.95606123949
"198","FDC22","OUT017",3154.9764687561
"199","FDZ56","OUT046",2765.87461501889
"200","FDZ40","OUT019",-1026.24056433281
"201","FDS46","OUT027",3391.67591438904
"202","DRD24","OUT045",2238.66142210451
"203","FDV45","OUT017",3116.88168046255
"204","FDL26","OUT045",2511.22780776442
"205","FDA56","OUT018",1748.75214573132
"206","FDN27","OUT046",1934.51776890294
"207","FDM20","OUT049",3992.56116164222
"208","FDO16","OUT017",1463.89854907297
"209","FDL03","OUT035",3209.94018142739
"210","FDE58","OUT046",1900.61154202382
"211","FDI02","OUT027",3302.96654587686
"212","NCC55","OUT019",-1290.00158543991
"213","FDR03","OUT018",3051.32069803212
"214","FDB14","OUT017",1681.85325364123
"215","FDR45","OUT013",3838.16352435703
"216","NCN07","OUT017",2188.13841256767
"217","FDM51","OUT019",-192.608801237298
"218","FDT52","OUT027",5339.70795647397
"219","FDL26","OUT046",2509.48524712582
"220","NCZ42","OUT046",3783.16981306843
"221","DRI47","OUT019",448.380917729033
"222","FDW40","OUT013",2276.64253385564
"223","FDN34","OUT046",2740.38378734621
"224","FDS01","OUT035",2929.27075547039
"225","NCG55","OUT045",1841.52418383551
"226","FDC11","OUT035",1459.04714840624
"227","FDX35","OUT018",3342.68850372666
"228","NCB06","OUT046",2559.44988013881
"229","FDR09","OUT019",2173.6845839684
"230","FDC53","OUT017",1688.06089206709
"231","FDY45","OUT013",4049.74863783125
"232","FDA22","OUT010",781.609644379272
"233","FDE02","OUT035",1587.88179311245
"234","FDW21","OUT045",1695.4341753962
"235","FDV34","OUT046",1280.67746161987
"236","FDS59","OUT049",1896.05470436706
"237","NCW17","OUT017",2185.28815800205
"238","NCK54","OUT046",1880.88046437894
"239","FDG17","OUT019",1980.95963197568
"240","FDG35","OUT017",2932.03469783474
"241","FDD08","OUT010",-1223.27457363236
"242","NCO07","OUT017",3469.95088238803
"243","FDJ10","OUT010",332.533247314139
"244","FDW36","OUT017",1808.300744238
"245","FDW21","OUT010",-234.361007430581
"246","FDY19","OUT017",2052.69537054033
"247","DRE03","OUT013",797.488355938323
