"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"1","FDW58","OUT049",1839.52808582297
"2","FDW14","OUT017",1355.4006388714
"3","NCN55","OUT010",693.722061092455
"4","FDQ58","OUT017",2080.56968784256
"5","FDY38","OUT027",5626.59637734808
"6","FDH56","OUT046",2096.62980659222
"7","FDL48","OUT018",709.284962160504
"8","FDC48","OUT027",2037.62378711235
"9","FDN33","OUT045",1449.05434353713
"10","FDA36","OUT017",3066.17337127883
"11","FDT44","OUT017",1822.99786930142
"12","FDQ56","OUT045",1445.64397978444
"13","NCC54","OUT019",713.278791749323
"14","FDU11","OUT049",2024.75119057864
"15","DRL59","OUT013",771.420451273837
"16","FDM24","OUT049",2385.02174296066
"17","FDI57","OUT045",3664.48538924021
"18","DRC12","OUT018",3300.49606396243
"19","NCM42","OUT027",2620.12915234813
"20","FDA46","OUT010",476.900133703733
"21","FDA31","OUT013",3076.87097572065
"22","NCJ31","OUT035",3440.11154334883
"23","FDG52","OUT046",768.004958074002
"24","NCL19","OUT019",305.834957096986
"25","FDS10","OUT035",3216.86021115929
"26","FDX22","OUT010",518.06025772972
"27","NCF19","OUT035",726.89715617611
"28","NCE06","OUT046",2506.55003912585
"29","DRC27","OUT046",3995.09130372773
"30","FDE21","OUT035",1937.28254527749
"31","NCR42","OUT019",117.772905279808
"32","FDX51","OUT018",2713.51037697343
"33","NCR06","OUT018",660.972441831985
"34","FDU31","OUT027",5479.46878946985
"35","FDU59","OUT017",2436.05839921795
"36","FDR03","OUT027",5345.62135752824
"37","FDS49","OUT027",2361.29329179787
"38","FDD48","OUT010",223.891027590246
"39","NCF18","OUT017",2971.89878022778
"40","NCD43","OUT027",2526.50904519802
"41","NCD54","OUT018",1994.20357705181
"42","FDY19","OUT010",244.854064953884
"43","NCY54","OUT017",2382.88835981516
"44","NCL19","OUT018",2138.60923690741
"45","FDP23","OUT010",627.276985243963
"46","FDC26","OUT013",1918.33030595286
"47","FDR14","OUT010",190.489143229158
"48","NCS41","OUT035",3141.26099218806
"49","FDF41","OUT035",4098.17527800322
"50","FDU34","OUT046",2076.92759099248
"51","DRH11","OUT046",1015.44447339396
"52","FDM03","OUT013",1997.94427684511
"53","FDS31","OUT017",3308.27243639611
